actual_stop_id,stop_id,stop_lat,stop_lon,stop_name
1965,8230DB001965,53.32386831,-6.37929675,Woodford Walk (Woodford Grove)
1112,8230DB001112,53.30765872,-6.318610489,Whitehall Park
318,8220DB000318,53.34630773,-6.259098017,Westmoreland Street (O'Connell Bridge)
100,8230DB000100,53.3030739,-6.322376751,Wellington Lane (Wellington Green
2396,8220DB002396,53.30881907,-6.302177579,Wainsfort Estate
2411,8220DB002411,53.30917325,-6.302433647,Wainsfort Estate
4913,8240DB004913,53.46161913,-6.240346503,Valley View Murrough Road Swords
4906,8240DB004906,53.46065355,-6.241305121,Valley View Murrough Road Swords
51,8220DB000051,53.35798985,-6.263249251,Upper Dorset St (Temple Street)
342,8220DB000342,53.34556412,-6.256800261,Trinity College
7471,8220DB007471,53.37925691,-6.293243555,Tolka Valley Road at Cloonlara
7616,8240DB007616,53.4495775,-6.183463984,The Warren
7559,8240DB007559,53.42633256,-6.370856772,The Oaks
7560,8240DB007560,53.42676062,-6.369952565,The Oaks
7571,8220DB007571,53.38677565,-6.258724958,The Helix
4907,8240DB004907,53.46253856,-6.239916886,The Gallops Murrough Road
7399,8220DB007399,53.34836911,-6.22695976,The 3Arena (Point Depot)
5082,8240DB005082,53.44719747,-6.176504409,Swords Road (Millview)
4905,8240DB004905,53.45996401,-6.245143835,Swords Manor Brackenstown Road Swords
4915,8240DB004915,53.45986299,-6.2449974,Swords Manor Brackenstown Road Swords
4987,8250DB004987,53.2773585,-6.263341319,Stone Masons Way
4988,8250DB004988,53.27765231,-6.263149456,Stone Masons Way
3699,8240DB003699,53.43509142,-6.227911679,Stockhole Lane
461,8250DB000461,53.2947995,-6.203541111,Stillorgan Road (Trees Road)
2068,8250DB002068,53.29809576,-6.204573003,Stillorgan Road (Sycamore Crescent)
2462,8220DB002462,53.31382319,-6.330029732,St.James's Road (St.Peter's Road)
790,8220DB000790,53.33930686,-6.257926526,St Stephens Green North
602,8220DB07602,53.37171235,-6.25323777,St Patricks College of Education Drumcondra
603,8220DB07603,53.37157673,-6.253183204,St Patricks College of Education Drumcondra
2551,8230DB002551,53.29306798,-6.321583811,Spawell Roundabout
2599,8230DB002599,53.29344189,-6.32132913,Spawell Roundabout
7365,8350DB007365,53.18531593,-6.104586066,Southern Cross Road (Earlsfort)
7581,8220DB007581,53.34415856,-6.263345908,South George's Street
1349,8220DB001349,53.33238573,-6.270881323,South Circular Road (Carlisle St)
7587,8220DB007587,53.34464202,-6.252136809,Shaw Street
1761,8220DB001761,53.3638374,-6.18804558,Seapark Road (Seafield Road)
3446,8230DB003446,53.28156501,-6.46792506,Scoil Chronain Rathcoole
7375,8250DB007375,53.27285573,-6.228542322,Sandyford Road (M50 Bridge)
7176,8250DB007176,53.27351904,-6.229024705,Sandyford Road (Greenlands)
7207,8350DB007207,53.14096142,-6.560542008,Russborough House
7208,8350DB007208,53.14107086,-6.560672877,Russborough House
762,8220DB000762,53.31451706,-6.224370944,RTE
7472,8250DB007472,53.26706808,-6.136623621,Rochestown Avenue Opposite Killiney Shop
1331,8230DB001331,53.29851919,-6.284627464,Rathfarham Road - Opposite Castle
2009,8250DB002009,53.30332206,-6.207834882,Radisson Hotel Stillorgan Road
2070,8250DB002070,53.30306607,-6.208145702,Radisson Hotel Stillorgan Road
4156,8350DB004156,53.20496738,-6.103614006,Quinnsborough Road (Seymour Rd)
197,8220DB000197,53.35895263,-6.273231374,Phibsboro Road (Monck Place)
7588,8220DB007588,53.34518482,-6.25483315,Pearse Street
4168,8350DB004168,53.20443166,-6.101017799,Outside Train Station
4413,8220DB004413,53.34616439,-6.292718367,Outside Heuston Train Station
2637,8220DB002637,53.34588406,-6.29385605,Outside Heuston Train Station
4320,8220DB004320,53.34664066,-6.292083514,Outside Heuston Train Station
4415,8220DB004415,53.35053898,-6.250348321,Outside Connolly Station
1500,8220DB001500,53.35103959,-6.250162578,Outside Connolly Station
497,8220DB000497,53.35052608,-6.250694343,Outside Connolly Station
770,8220DB000770,53.31463619,-6.225731811,N11 Opp. R.T.E.
4962,8220DB004962,53.35699393,-6.258437086,Mountjoy Square Nth
7555,8220DB007555,53.3571703,-6.258204537,Mountjoy Square Nth
7469,8220DB007469,53.3677762,-6.17402285,Mount Prospect Ave Junction Clontarf Rd
3073,8250DB003073,53.29378259,-6.155188246,Monkstown
3037,8250DB003037,53.29550052,-6.165750879,Monkstown Road (Alma Road)
1975,8230DB001975,53.3179325,-6.372422074,Monastery Road (Naas Road)
7432,8230DB007432,53.28187584,-6.450247553,Mill Road Opposite Mill Race
2810,8220DB002810,53.34079491,-6.250897489,Merrion Square West
7385,8220DB007385,53.33929849,-6.250598316,Merrion Square South
7387,8220DB007387,53.33947247,-6.250816458,Merrion Square South
7391,8220DB007391,53.33909075,-6.249916017,Merrion Square South
7390,8220DB007390,53.33951302,-6.251130168,Merrion Square South
408,8220DB000408,53.34097078,-6.25001924,Merrion Square North
6117,8240DB006117,53.45433449,-6.215816824,Malahide Road (Pavilions)
6054,8240DB006054,53.45423681,-6.21589621,Malahide Road (Pavilions)
7294,8350DB007294,53.20472445,-6.109253737,Main Street (Quinnsborough Road)
