,cloudCover,humidity,icon,precipIntensity,pressure,temperature,visibility,windSpeed
2018-01-01 00:00:00,0.58,0.8,partly-cloudy-night,0,990.82,41.19,6.216,17.04
2018-01-01 01:00:00,0.75,0.79,partly-cloudy-night,0,990.98,41.7,6.216,21.59
2018-01-01 02:00:00,0.75,0.78,partly-cloudy-night,0,990.82,41.95,6.216,21.59
2018-01-01 03:00:00,0.58,0.82,partly-cloudy-night,0,990.73,42.42,6.216,19.6
2018-01-01 04:00:00,0.44,0.83,partly-cloudy-night,0,990.38,42.09,6.216,20.48
2018-01-01 05:00:00,0.75,0.77,partly-cloudy-night,0,990.34,42.59,6.216,17.89
2018-01-01 06:00:00,0.75,0.78,partly-cloudy-night,0,990.63,41.94,6.216,12.31
2018-01-01 07:00:00,0.75,0.81,partly-cloudy-night,0,991.4,41.19,6.216,9.6
2018-01-01 08:00:00,0.75,0.81,partly-cloudy-night,0,991.85,41.19,6.216,11.27
2018-01-01 09:00:00,0.49,0.81,partly-cloudy-day,0,992.35,41.19,6.216,12.91
2018-01-01 10:00:00,0.44,0.79,partly-cloudy-day,0,992.83,43.08,6.216,15.69
2018-01-01 11:00:00,0.6,0.78,partly-cloudy-day,0,993.83,44.01,6.216,21.1
2018-01-01 12:00:00,0.75,0.77,partly-cloudy-day,0,994.78,45.58,6.216,21.65
2018-01-01 13:00:00,0.75,0.74,partly-cloudy-day,0,996.07,46.96,5.223,21.89
2018-01-01 14:00:00,0.6,0.8,partly-cloudy-day,0,997.97,44.88,6.216,18.41
2018-01-01 15:00:00,0.75,0.78,partly-cloudy-day,0,1000.02,45.39,6.216,21.07
2018-01-01 16:00:00,0.6,0.76,partly-cloudy-day,0,1001.82,44.49,6.216,18.54
2018-01-01 17:00:00,0.44,0.79,partly-cloudy-night,0,1003.63,43.98,6.216,15.2
2018-01-01 18:00:00,0.3,0.81,partly-cloudy-night,0,1004.83,43.08,6.216,12
2018-01-01 19:00:00,0.44,0.81,partly-cloudy-night,0,1006.33,43.08,6.216,13.06
2018-01-01 20:00:00,0.44,0.77,partly-cloudy-night,0,1007.28,42.59,6.216,14.06
2018-01-01 21:00:00,0.44,0.76,partly-cloudy-night,0,1007.69,40.9,6.216,12.51
2018-01-01 22:00:00,0.44,0.78,partly-cloudy-night,0,1008.53,40.28,6.216,12.51
2018-01-01 23:00:00,0.58,0.76,partly-cloudy-night,0,1008.79,41.19,6.216,11.51
2018-01-02 00:00:00,0.58,0.76,partly-cloudy-night,0,1008.9,40.38,6.216,8.2
2018-01-02 01:00:00,0.87,0.73,partly-cloudy-night,0,1008.44,40.32,6.216,8.97
2018-01-02 02:00:00,0.81,0.72,partly-cloudy-night,0,1008.35,41.87,6.216,5.09
2018-01-02 03:00:00,0.87,0.73,partly-cloudy-night,0,1007.71,41.87,6.216,5.09
2018-01-02 04:00:00,0.87,0.78,partly-cloudy-night,0,1005.86,41.56,6.216,3.43
2018-01-02 05:00:00,0.87,0.78,partly-cloudy-night,0,1004.52,42.55,6.216,8.4
2018-01-02 06:00:00,0.87,0.84,partly-cloudy-night,0.001,1003.21,43.57,5.338,5.09
2018-01-02 07:00:00,0.87,0.91,partly-cloudy-night,0.009,999.92,44.56,6.216,10.2
2018-01-02 08:00:00,0.75,0.9,partly-cloudy-night,0.009,998.67,45.65,6.216,9.68
2018-01-02 09:00:00,0.75,0.85,rain,0.007,998.2,48.83,5.223,12.82
2018-01-02 10:00:00,0.75,0.85,partly-cloudy-day,0.007,997.78,49.19,6.216,14.92
2018-01-02 11:00:00,0.75,0.81,partly-cloudy-day,0.001,997.73,50.18,6.216,18.9
2018-01-02 12:00:00,0.75,0.79,partly-cloudy-day,0,997.88,50.67,6.216,19.4
2018-01-02 13:00:00,0.6,0.77,partly-cloudy-day,0,996.89,50.93,6.216,18.67
2018-01-02 14:00:00,0.75,0.78,partly-cloudy-day,0,996.85,50.67,6.216,16.05
2018-01-02 15:00:00,0.75,0.85,partly-cloudy-day,0.001,995.09,49.05,6.216,14.12
2018-01-02 16:00:00,0.87,0.9,partly-cloudy-day,0.008,992.36,47.29,6.216,9.13
2018-01-02 17:00:00,0.87,0.9,partly-cloudy-night,0.008,988.66,47.29,5.922,8.79
2018-01-02 18:00:00,0.75,0.89,partly-cloudy-night,0.007,984.62,49.1,6.216,9.8
2018-01-02 19:00:00,0.75,0.81,partly-cloudy-night,0.009,,52.27,6.216,23.71
2018-01-02 20:00:00,0.75,0.74,wind,0.003,,49.1,6.216,30.91
2018-01-02 21:00:00,0.75,0.74,wind,0,983.6,47.79,6.216,28.76
2018-01-02 22:00:00,0.75,0.75,wind,0,983.33,45.39,6.216,28.49
2018-01-02 23:00:00,0.75,0.82,partly-cloudy-night,0.004,983.98,44.31,4.897,24.17
2018-01-03 00:00:00,0.75,0.83,partly-cloudy-night,0,984.81,42.09,6.216,21.02
2018-01-03 01:00:00,0.75,0.8,partly-cloudy-night,0.002,985.57,41.87,6.216,24.71
2018-01-03 02:00:00,0.58,0.83,partly-cloudy-night,0.006,986.01,42.09,6.216,23.71
2018-01-03 03:00:00,0.58,0.78,partly-cloudy-night,0.001,986.96,43.98,6.216,24.94
2018-01-03 04:00:00,0.58,0.82,rain,0.002,988.18,42.59,6.216,22.71
2018-01-03 05:00:00,0.58,0.84,partly-cloudy-night,0.006,989.08,42.16,6.216,23.15
2018-01-03 06:00:00,0.44,0.83,partly-cloudy-night,0.003,989.88,43.98,6.216,19.89
2018-01-03 07:00:00,0.58,0.83,partly-cloudy-night,0.001,990.91,43.98,6.216,23.37
2018-01-03 08:00:00,0.75,0.78,wind,0,991.96,45.58,6.216,25.38
2018-01-03 09:00:00,0.75,0.79,rain,0.004,993.37,45.26,6.216,24.38
2018-01-03 10:00:00,0.45,0.75,partly-cloudy-day,0.001,994.42,45.11,6.216,24.11
2018-01-03 11:00:00,0.75,0.79,partly-cloudy-day,0.003,995.54,45.26,6.216,20.6
2018-01-03 12:00:00,0.75,0.84,partly-cloudy-day,0.007,995.71,45.63,6.216,20.98
2018-01-03 13:00:00,0.75,0.76,partly-cloudy-day,0.005,995.71,47.24,6.216,25.13
2018-01-03 14:00:00,0.75,0.74,partly-cloudy-day,0.005,995.98,47.16,6.216,23.78
2018-01-03 15:00:00,0.75,0.78,partly-cloudy-day,0,995.98,47.16,6.216,22.22
2018-01-03 16:00:00,0.75,0.74,partly-cloudy-day,0,996.13,47.29,6.216,24.38
2018-01-03 17:00:00,0.75,0.74,partly-cloudy-night,0,996.58,47.16,6.216,22.94
2018-01-03 18:00:00,0.75,0.78,partly-cloudy-night,0,996.92,45.87,6.216,22.64
2018-01-03 19:00:00,0.75,0.78,partly-cloudy-night,0,997.23,45.87,6.216,20.96
